Account or Security,Coupon,Maturity Date,Quantity,Cost Value,Market Value,Year,Industry
ELEVANCE HEALTH INC 4.75% 02-1,4.75,02/15/33,1391000,1388788.31,1351016.21,2023,
ELEVANCE HEALTH INC 4.75% 02-1,5.5,10/15/32,134000,140218.94,137753.47,2023,
ELEVANCE HEALTH INC 4.75% 02-1,5.35,10/15/25,622000,621838.28,620652.57,2023,
ELI LILLY & CO,1.25,03/01/18,140000,139876.8,139655.18,2015,
ELI LILLY & CO,1.25,03/01/18,140000,139876.8,140033.04,2016,
ELI LILLY AND CO 4.7% DUE 02-2,4.7,02/27/33,104000,106161.12,105363.24,2023,
EMC CORP,1.875,06/01/18,505000,504712.15,499263.2,2013,
EMC CORP,1.875,06/01/18,460000,459737.8,454774.4,2013,
EMC CORP,1.875,06/01/18,505000,504712.15,503283.5,2014,
EMC CORP,1.875,06/01/18,460000,459737.8,458436.46,2014,
EMC CORP,1.875,06/01/18,505000,504712.15,471204.39,2015,
EMC CORP,1.875,06/01/18,460000,459737.8,429215.88,2015,
EMD FIN LLC 2.4% DUE ,2.4,03/19/20,400000,401240,399123.6,2017,
EMD FIN LLC 2.4% DUE ,1.7,03/19/18,350000,349940.5,349918.8,2017,
EMD FIN LLC 2.4% DUE ,2.4,03/19/20,400000,401240,394434,2018,
EMD FIN LLC 2.4% DUE ,2.4,03/19/20,1600000,1580752,1577736,2018,
EMD FIN LLC 2.4% DUE ,2.4,03/19/20,400000,401240,399650.8,2019,
EMD FIN LLC 2.4% DUE ,2.4,03/19/20,1900000,1878613,1898341.3,2019,
EMD FIN LLC 2.4% DUE ,2.95,03/19/22,210000,214149.6,216734.45,2020,
EMD FIN LLC 2.4% DUE ,2.95,03/19/22,210000,214149.6,213063.05,2021,
EMD FIN LLC 2.4% DUE ,2.95,03/19/22,727000,740035.11,737603.98,2021,
EMD FINANCE LLC,1.7,03/19/18,350000,349940.5,346661.7,2015,
EMD FINANCE LLC,1.7,03/19/18,350000,349940.5,348810.7,2016,
EMD FINANCE LLC,3.25,03/19/25,160000,169472,157582.75,2022,
EMD FINANCE LLC,3.25,03/19/25,160000,169472,153353.88,2023,
EMERA US FIN LP 2.15% DUE 06-1,2.15,06/15/19,563000,563193.13,562069.36,2016,
EMERA US FIN LP 2.15% DUE 06-1,2.15,06/15/19,563000,562393.09,560809.93,2017,
EMERA US FIN LP 2.15% DUE 06-1,2.15,06/15/19,563000,562393.09,557123.41,2018,
EMORY UNIV 1.566% DUE ,1.57,09/01/25,115000,115000,117443.96,2020,
EMORY UNIV 1.566% DUE ,1.57,09/01/25,115000,115000,117626.62,2021,
EMORY UNIV 1.566% DUE ,1.57,09/01/25,115000,115000,106978.3,2022,
EMORY UNIV 1.566% DUE ,1.57,09/01/25,115000,115000,105271.19,2023,
ENABLE MIDSTREAM PARTNERS LP 3,3.9,05/15/24,250000,245925,245768.27,2023,
ENBRIDGE INC,2.5,01/15/25,130000,129758.2,135021.74,2020,
ENBRIDGE INC,2.5,01/15/25,130000,129758.2,136196.68,2021,
ENBRIDGE INC,0.42,02/17/23,40000,40000,40080.3,2021,
ENBRIDGE INC,0.42,02/17/23,232000,232000,232465.75,2021,
ENBRIDGE INC,2.15,02/16/24,130000,129890.8,126155.93,2022,
ENBRIDGE INC,2.5,02/14/25,100000,100030.4,95991.53,2022,
ENBRIDGE INC,2.5,01/15/25,130000,129758.2,125086.28,2022,
ENBRIDGE INC,1.38,02/17/23,40000,40000,39785.6,2022,
ENBRIDGE INC,1.59,02/16/24,3045000,3045726.6,3008070.88,2022,
ENBRIDGE INC,1.38,02/17/23,1305000,1302493.1,1298005.2,2022,
ENBRIDGE INC,1.38,02/17/23,232000,232000,230756.48,2022,
ENBRIDGE INC,2.15,02/16/24,130000,129890.8,126973.49,2023,
ENBRIDGE INC,2.5,02/14/25,100000,100030.4,94977.46,2023,
ENBRIDGE INC,2.5,01/15/25,130000,129758.2,123630.19,2023,
ENBRIDGE INC,4,10/01/23,2700000,2683935,2689241.34,2023,
ENBRIDGE INC,5.7,02/16/24,4045000,4042912.6,4042023.57,2023,
ENBRIDGE INC,7.38,10/15/45,185000,214611,212958.84,2023,
ENBRIDGE INC,5.7,03/08/33,120000,123615.9,121647.77,2023,
ENCANA CORP NT,5.8,05/01/14,1100000,1136561.82,1118997,2013,
ENEL FIN INTL N V NT 144,2.88,05/25/22,1341000,1373992.92,1370345.91,2021,
ENERGY TRANSFER PARTNERS,9.7,03/15/19,180000,179870.4,222318,2009,oil_gas
ENERGY TRANSFER PARTNERS,8.5,04/15/14,300000,299988,346288.8,2009,oil_gas
ENERGY TRANSFER PARTNERS,9.7,03/15/19,180000,179870.4,232642.8,2010,oil_gas
ENERGY TRANSFER PARTNERS,8.5,04/15/14,300000,299988,348319.5,2010,oil_gas
ENERGY TRANSFER PARTNERS,6.13,02/15/17,530000,601417.5,581902.37,2011,oil_gas
ENERGY TRANSFER PARTNERS,5.2,02/01/22,390000,427623.3,410589.66,2013,oil_gas
ENERGY TRANSFER PARTNERS,5.2,02/01/22,825000,907798.05,882383.7,2014,oil_gas
ENERGY TRANSFER PARTNERS,5.2,02/01/22,825000,907798.05,770760.37,2015,oil_gas
ENERGY TRANSFER PARTNERS,4.95,06/15/28,1140000,1137936.6,1136460.3,2018,oil_gas
ENERGY TRANSFER PARTNERS,4.95,06/15/28,820000,818515.8,896521.58,2019,oil_gas
ENERGY TRANSFER PARTNERS,5.5,06/01/27,1346000,1461716.74,1504595.14,2019,oil_gas
ENERGY TRANSFER PARTNERS,5.2,02/01/22,510000,539054.7,538754.31,2019,oil_gas
ENERGY TRANSFER PARTNERS,2.9,05/15/25,445000,444661.8,454627.25,2020,oil_gas
ENERGY TRANSFER PARTNERS,3.75,05/15/30,635000,634003.05,630715.75,2020,oil_gas
ENERGY TRANSFER PARTNERS,4.95,06/15/28,820000,818515.8,880593.47,2020,oil_gas
ENERGY TRANSFER PARTNERS,5.2,02/01/22,510000,539054.7,533681.4,2020,oil_gas
ENERGY TRANSFER PARTNERS,5.2,02/01/22,1114000,1167728.1,1131169.09,2021,oil_gas
ENERGY TRANSFER PARTNERS,2.9,05/15/25,379000,360933.07,359095.17,2023,oil_gas
ENERGY TRANSFER PARTNERS,5.25,04/15/29,350000,348918.5,341684.78,2023,oil_gas
ENERGY TRANSFER PARTNERS,4.75,01/15/26,200000,195756,195510.58,2023,oil_gas
ENERGY TRANSFER PARTNERS,5.55,02/15/28,225000,227162.6,224367.93,2023,oil_gas
ENERGY TRANSFER PARTNERS,5.75,02/15/33,200000,199782,201309.2,2023,oil_gas
ENGIE SA NT 2.875% 10-1,2.88,10/10/22,1977000,2045740.29,2036575.08,2021,
ENGIE SA NT 2.875% 10-1,2.88,10/10/22,1977000,2045740.29,1971947.42,2022,
ENLINK MIDSTREAM PARTNERS LP 4,4.15,06/01/25,190000,182545.9,184319,2023,oil_gas
ENLINK MIDSTREAM PARTNERS LP 4,4.85,07/15/26,155000,148573.05,149575,2023,oil_gas
ENSCO PLC,3.25,03/15/16,260000,258021.4,265237.7,2011,
ENSCO PLC,3.25,03/15/16,410000,415488.4,434762.36,2012,
ENSCO PLC,3.25,03/15/16,410000,415488.4,428058.45,2013,
ENSCO PLC,3.25,03/15/16,1055000,1122662.9,1101467.48,2013,
ENSCO PLC,3.25,03/15/16,410000,415488.4,417497.26,2014,
ENSCO PLC,3.25,03/15/16,1055000,1122662.9,1074291.73,2014,
ENSCO PLC,3.25,03/15/16,850000,878235.07,865543.1,2014,
ENTERGY ARK INC 3.05% DUE ,3.75,02/15/21,360000,377686.8,373041.36,2017,
ENTERGY ARK INC 3.05% DUE ,3.75,02/15/21,360000,377686.8,364440.96,2018,
ENTERGY ARK INC 3.05% DUE ,3.05,06/01/23,100000,100462,101994,2019,
ENTERGY ARK INC 3.05% DUE ,3.75,02/15/21,360000,377686.8,367286.4,2019,
ENTERGY ARK INC 3.05% DUE ,3.05,06/01/23,100000,100462,106027.79,2020,
ENTERGY ARK INC 3.05% DUE ,3.05,06/01/23,100000,100462,104120.07,2021,
ENTERGY ARK INC 3.05% DUE ,3.7,06/01/24,110000,119244.4,118791.98,2021,
ENTERGY ARK INC 3.05% DUE ,3.05,06/01/23,100000,100462,99702.49,2022,
ENTERGY ARK INC 3.05% DUE ,3.7,06/01/24,110000,119244.4,110374.28,2022,
ENTERGY ARK INC 3.05% DUE ,3.7,06/01/24,110000,119244.4,108107.23,2023,
ENTERGY CORP NEW .9% DUE ,0.9,09/15/25,1025000,1020961.5,1011307.98,2021,
ENTERGY CORP NEW .9% DUE ,0.9,09/15/25,1025000,1020961.5,922660.23,2022,
ENTERGY CORP NEW .9% DUE ,1.9,06/15/28,236000,205671.64,201125.09,2023,
ENTERGY CORP NEW .9% DUE ,0.9,09/15/25,1025000,1020961.5,920554.11,2023,
ENTERGY GULF STS 6% DUE 05-01-,6,05/01/18,1121000,1163946.63,1135801.68,2017,
ENTERGY LOUISIANA LLC,1.875,12/15/14,500000,507290,506660,2013,
ENTERGY LOUISIANA LLC,0.62,11/17/23,220000,219960.4,220331.62,2021,
ENTERGY LOUISIANA LLC,0.62,11/17/23,132000,131976.24,127157.23,2022,
ENTERGY LOUISIANA LLC,0.95,10/01/24,100000,96986,93906.47,2022,
ENTERGY LOUISIANA LLC,0.62,11/17/23,132000,131976.24,129476.37,2023,
ENTERGY LOUISIANA LLC,0.95,10/01/24,100000,96986,94263.28,2023,
ENTERGY LOUISIANA LLC,4,03/15/33,165000,164742.6,149745.78,2023,
ENTERGY TEX INC 1.75% DUE ,3.6,06/01/15,600000,627030,628980,2012,
ENTERGY TEX INC 1.75% DUE ,3.6,06/01/15,600000,627030,619794,2013,
ENTERGY TEX INC 1.75% DUE ,3.6,06/01/15,600000,627030,606702,2014,
ENTERGY TEX INC 1.75% DUE ,4.1,09/01/21,850000,872270,872693.11,2020,
ENTERGY TEX INC 1.75% DUE ,1.75,03/15/31,375000,373612.5,359309.21,2021,
ENTERGY TEX INC 1.75% DUE ,4.1,09/01/21,850000,872270,852169,2021,
ENTERGY TEX INC 1.75% DUE ,1.75,03/15/31,375000,373612.5,303254.37,2022,
ENTERGY TEX INC 1.75% DUE ,1.5,09/01/26,480000,424992,425353.5,2022,
ENTERGY TEX INC 1.75% DUE ,1.75,03/15/31,375000,373612.5,296131.59,2023,
ENTERGY TEX INC 1.75% DUE ,1.5,09/01/26,480000,424992,416370.09,2023,
ENTERPRISE PRODUCTS OPER,6.3,09/15/17,145000,144931.85,156095.84,2009,oil_gas
ENTERPRISE PRODUCTS OPER,6.3,09/15/17,145000,144931.85,163615.53,2010,oil_gas
ENTERPRISE PRODUCTS OPER,3.2,02/01/16,30000,29970.3,31058.4,2011,oil_gas
ENTERPRISE PRODUCTS OPER,6.3,09/15/17,145000,144931.85,169813.56,2011,oil_gas
ENTERPRISE PRODUCTS OPER,6.3,09/15/17,145000,144931.85,175396.49,2012,oil_gas
ENTERPRISE PRODUCTS OPER,3.2,02/01/16,30000,29970.3,31699.11,2012,oil_gas
ENTERPRISE PRODUCTS OPER,1.25,08/13/15,220000,219870.2,221351.02,2012,oil_gas
ENTERPRISE PRODUCTS OPER,6.3,09/15/17,145000,144931.85,166922.4,2013,oil_gas
ENTERPRISE PRODUCTS OPER,3.2,02/01/16,30000,29970.3,31293.96,2013,oil_gas
ENTERPRISE PRODUCTS OPER,6.3,09/15/17,914000,1064691.18,1052186.71,2013,oil_gas
ENTERPRISE PRODUCTS OPER,1.25,08/13/15,220000,219870.2,221461.68,2013,oil_gas
ENTERPRISE PRODUCTS OPER,5.6,10/15/14,1045000,1103749.9,1085898.16,2013,oil_gas
ENTERPRISE PRODUCTS OPER,6.3,09/15/17,145000,144931.85,162111.45,2014,oil_gas
ENTERPRISE PRODUCTS OPER,3.2,02/01/16,30000,29970.3,30710.46,2014,oil_gas
ENTERPRISE PRODUCTS OPER,6.3,09/15/17,914000,1064691.18,1021861.14,2014,oil_gas
ENTERPRISE PRODUCTS OPER,1.25,08/13/15,220000,219870.2,220581.24,2014,oil_gas
ENTERPRISE PRODUCTS OPER,3.7,06/01/15,2200000,2232537,2225000.8,2014,oil_gas
ENTERPRISE PRODUCTS OPER,1.25,08/13/15,1900000,1908284,1905019.8,2014,oil_gas
ENTERPRISE PRODUCTS OPER,6.3,09/15/17,145000,144931.85,152520.13,2015,oil_gas
ENTERPRISE PRODUCTS OPER,1.65,05/07/18,250000,249702.5,243887.25,2015,oil_gas
ENTERPRISE PRODUCTS OPER,3.2,02/01/16,430000,437146.6,430137.17,2015,oil_gas
ENTERPRISE PRODUCTS OPER,1.65,05/07/18,420000,419500.2,409730.58,2015,oil_gas
ENTERPRISE PRODUCTS OPER,3.2,02/01/16,4114000,4137133.3,4115312.37,2015,oil_gas
ENTERPRISE PRODUCTS OPER,1.65,05/07/18,195000,194767.95,190232.06,2015,oil_gas
ENTERPRISE PRODUCTS OPER,4.05,02/15/22,725000,784305,764282.68,2016,oil_gas
ENTERPRISE PRODUCTS OPER,1.65,05/07/18,250000,249702.5,249297.75,2016,oil_gas
ENTERPRISE PRODUCTS OPER,1.65,05/07/18,420000,419500.2,418820.22,2016,oil_gas
ENTERPRISE PRODUCTS OPER,1.65,05/07/18,195000,194767.95,194452.25,2016,oil_gas
ENTERPRISE PRODUCTS OPER,6.3,09/15/17,3100000,3236214.4,3197212.9,2016,oil_gas
ENTERPRISE PRODUCTS OPER,4.05,02/15/22,725000,784305,758646.53,2017,oil_gas
ENTERPRISE PRODUCTS OPER,1.65,05/07/18,250000,249702.5,249666.5,2017,oil_gas
ENTERPRISE PRODUCTS OPER,6.65,04/15/18,2840000,2896623.2,2876883.08,2017,oil_gas
ENTERPRISE PRODUCTS OPER,2.55,10/15/19,1500000,1513410,1504723.5,2017,oil_gas
ENTERPRISE PRODUCTS OPER,1.65,05/07/18,536000,536005.36,535284.98,2017,oil_gas
ENTERPRISE PRODUCTS OPER,2.8,02/15/21,675000,674635.5,666366.75,2018,oil_gas
ENTERPRISE PRODUCTS OPER,4.05,02/15/22,1625000,1726245,1653468.38,2018,oil_gas
ENTERPRISE PRODUCTS OPER,2.8,02/15/21,230000,229875.8,227058.3,2018,oil_gas
ENTERPRISE PRODUCTS OPER,2.8,02/15/21,764000,763587.44,754228.44,2018,oil_gas
ENTERPRISE PRODUCTS OPER,2.55,10/15/19,1500000,1513410,1489875,2018,oil_gas
ENTERPRISE PRODUCTS OPER,2.8,02/15/21,675000,674635.5,679681.12,2019,oil_gas
ENTERPRISE PRODUCTS OPER,4.05,02/15/22,1625000,1726245,1690502.13,2019,oil_gas
ENTERPRISE PRODUCTS OPER,2.8,02/15/21,230000,229875.8,231595.05,2019,oil_gas
ENTERPRISE PRODUCTS OPER,3.5,02/01/22,220000,220627,225845.4,2019,oil_gas
ENTERPRISE PRODUCTS OPER,2.8,02/15/21,764000,763587.44,769298.34,2019,oil_gas
ENTERPRISE PRODUCTS OPER,2.55,10/15/19,1500000,1513410,1499533.5,2019,oil_gas
ENTERPRISE PRODUCTS OPER,2.8,02/15/21,675000,674635.5,684334.04,2020,oil_gas
ENTERPRISE PRODUCTS OPER,4.05,02/15/22,1625000,1726245,1715709.42,2020,oil_gas
ENTERPRISE PRODUCTS OPER,2.8,02/15/21,230000,229875.8,233180.49,2020,oil_gas
ENTERPRISE PRODUCTS OPER,3.5,02/01/22,220000,220627,229338.78,2020,oil_gas
ENTERPRISE PRODUCTS OPER,3.5,02/01/22,220000,220627,224212.28,2021,oil_gas
ENTERPRISE PRODUCTS OPER,4.05,02/15/22,1625000,1726245,1662894.04,2021,oil_gas
ENTERPRISE PRODUCTS OPER,3.75,02/15/25,210000,228062.1,207485.86,2022,oil_gas
ENTERPRISE PRODUCTS OPER,3.35,03/15/23,460000,471578.2,458814.84,2022,oil_gas
ENTERPRISE PRODUCTS OPER,3.35,03/15/23,2000000,2050340,1994847.12,2022,oil_gas
ENTERPRISE PRODUCTS OPER,5.05,01/10/26,375000,374598.75,374314.68,2023,oil_gas
ENTERPRISE PRODUCTS OPER,3.9,02/15/24,400000,392868,395602.92,2023,oil_gas
ENTERPRISE PRODUCTS OPER,5.05,01/10/26,1000000,998930,998172.47,2023,oil_gas
ENTERPRISE PRODUCTS OPER,3.9,02/15/24,7890000,7788835.65,7803267.68,2023,oil_gas
ENTERPRISE PRODUCTS OPER,3.75,02/15/25,250000,246752.5,243129.06,2023,oil_gas
EOG RES INC 4.1% DUE 02-01-202,4.1,02/01/21,1600000,1637232,1646859.2,2019,oil_gas
EOG RES INC 4.1% DUE 02-01-202,4.1,02/01/21,1600000,1637232,1633938.69,2020,oil_gas
EOG RESOURCES INC,2.5,02/01/16,350000,342174,342125.35,2010,oil_gas
EOG RESOURCES INC,2.5,02/01/16,350000,342174,360446.1,2011,oil_gas
EOG RESOURCES INC,2.5,02/01/16,575000,575541.75,601324.65,2012,oil_gas
EOG RESOURCES INC,4.75,03/15/14,250000,266465,258892.5,2012,oil_gas
EOG RESOURCES INC,1.06,02/03/14,300000,302604,302094.9,2012,oil_gas
EOG RESOURCES INC,4.75,03/15/14,250000,266465,251465,2013,oil_gas
EOG RESOURCES INC,2.95,06/01/15,2100000,2141965.5,2120325.9,2014,oil_gas
EOG RESOURCES INC,2.5,02/01/16,2775000,2795002.25,2777591.85,2015,oil_gas
EQT CORP SR NT 3.125% ,3.13,05/15/26,340000,314986.2,312599.4,2023,oil_gas
EQT CORP SR NT 3.125% ,3.13,05/15/26,255000,237549.5,234449.55,2023,oil_gas
EQUIFAX INC,3.6,08/15/21,240000,239136,239798.64,2018,
EQUIFAX INC,3.6,08/15/21,240000,239136,244603.2,2019,
EQUIFAX INC,3.6,08/15/21,240000,239136,247704.19,2020,
EQUIFAX INC,3.6,08/15/21,240000,239136,240954.13,2021,
EQUIFAX INC,5.1,06/01/28,130000,129613.9,128046.87,2023,
EQUINIX INC 2.625% DUE ,2.63,11/18/24,230000,230000,244862.6,2020,
EQUINIX INC 2.625% DUE ,2.63,11/18/24,230000,230000,242001.62,2021,
EQUINIX INC 2.625% DUE ,2.63,11/18/24,230000,230000,220620.95,2022,
EQUINIX INC 2.625% DUE ,2.63,11/18/24,230000,230000,219644.86,2023,
EQUINIX INC 2.625% DUE ,2.9,11/18/26,200000,216134,183378.59,2023,
EQUITABLE FINL LIFE GLOB,0,07/07/25,1268000,1265679.56,1269676.3,2020,
EQUITABLE FINL LIFE GLOB,1.4,07/07/25,1268000,1265679.56,1278658.52,2021,
EQUITABLE FINL LIFE GLOB,1,01/09/26,1500000,1498035,1475210.54,2021,
EQUITABLE FINL LIFE GLOB,0.5,04/06/23,1333000,1332360.16,1334879.41,2021,
EQUITABLE FINL LIFE GLOB,0.41,04/06/23,1045000,1045000,1046125.63,2021,
EQUITABLE FINL LIFE GLOB,3.48,06/16/25,822000,833836.8,809438.61,2022,
EQUITABLE FINL LIFE GLOB,1.4,07/07/25,1268000,1265679.56,1165325.41,2022,
EQUITABLE FINL LIFE GLOB,1.1,11/12/24,873000,872869.05,817066.89,2022,
EQUITABLE FINL LIFE GLOB,1,01/09/26,1500000,1498035,1334439.93,2022,
EQUITABLE FINL LIFE GLOB,0.5,11/17/23,3300000,3270498,3163174.08,2022,
EQUITABLE FINL LIFE GLOB,0.5,04/06/23,1333000,1332360.16,1303240.84,2022,
EQUITABLE FINL LIFE GLOB,1.11,04/06/23,1045000,1045000,1040820,2022,
EQUITABLE FINL LIFE GLOB,3.48,06/16/25,822000,833836.8,784838.28,2023,
EQUITABLE FINL LIFE GLOB,1.4,07/07/25,1268000,1265679.56,1153536.31,2023,
EQUITABLE FINL LIFE GLOB,3.48,06/16/25,305000,294904.5,291211.28,2023,
EQUITABLE FINL LIFE GLOB,1.1,11/12/24,873000,872869.05,816735.92,2023,
EQUITABLE FINL LIFE GLOB,1,01/09/26,1500000,1498035,1327826.58,2023,
EQUITABLE FINL LIFE GLOB,0.5,11/17/23,3300000,3270498,3235479.69,2023,
ERAC USA FINANCE LLC,0.81,05/25/46,1490000,1490000,50092.31,2010,
ERAC USA FINANCE LLC,2.25,01/10/14,400000,403864,404075.6,2012,
ERAC USA FINANCE LLC,2.75,07/01/13,1000000,1015480,1010634,2012,
ERAC USA FINANCE LLC,2.75,03/15/17,1215000,1269128.25,1249718.62,2013,
ERAC USA FINANCE LLC,2.25,01/10/14,2470000,2496530.9,2470748.41,2013,
ERAC USA FINANCE LLC,2.75,03/15/17,1215000,1269128.25,1247383.39,2014,
ERAC USA FINANCE LLC,5.6,05/01/15,1600000,1636016,1625132.8,2014,
ERAC USA FINANCE LLC,5.9,11/15/15,1600000,1703648,1669382.4,2014,
ERAC USA FINANCE LLC,1.4,04/15/16,1600000,1613072,1603755.2,2014,
ERAC USA FINANCE LLC,2.75,03/15/17,1215000,1269128.25,1229782.9,2015,
ERAC USA FINANCE LLC,6.2,11/01/16,969000,1009617.54,1004484.78,2015,
ERAC USA FINANCE LLC,1.4,04/15/16,1895000,1896857.3,1894094.19,2015,
ERAC USA FINANCE LLC,1.4,04/15/16,1600000,1613072,1599235.2,2015,
ERAC USA FINANCE LLC,2.7,11/01/23,400000,401148,384266.4,2016,
ERAC USA FINANCE LLC,6.38,10/15/17,2000000,2091600,2072290,2016,
ERAC USA FINANCE LLC,2.75,03/15/17,3170000,3188024.15,3178495.6,2016,
ERAC USA FINANCE LLC,6.38,10/15/17,500000,522370,518072.5,2016,
ERAC USA FINANCE LLC,2.7,11/01/23,700000,693045,681155.3,2017,
ERAC USA FINANCE LLC,2.7,11/01/23,700000,693045,660813.3,2018,
ERAC USA FINANCE LLC,2.8,11/01/18,3035000,3038886.5,3034487.09,2018,
ERAC USA FINANCE LLC,2.7,11/01/23,700000,693045,701260.7,2019,
ERAC USA FINANCE LLC,2.7,11/01/23,700000,693045,707700.21,2020,
ERAC USA FINANCE LLC,4.5,08/16/21,1000000,1041480,1032002.62,2020,
ERAC USA FINANCE LLC,4.5,08/16/21,1000000,1041480,1005128.56,2021,
ERICSSON LM,4.125,05/15/22,410000,419762.1,398507.7,2013,
ERICSSON LM,4.125,05/15/22,410000,419762.1,428855.49,2014,
ERICSSON LM,4.125,05/15/22,410000,419762.1,420341.02,2015,
ERP OPER LTD PARTNERSHIP 3.375,3.38,06/01/25,200000,216454,196042.94,2022,
ERP OPER LTD PARTNERSHIP 3.375,3.38,06/01/25,650000,656828.5,623685.49,2023,
ERP OPERATING LP EQR5,5.25,09/15/14,280000,304847.2,300779.92,2012,
ERP OPERATING LP EQR5,5.75,06/15/17,400000,460520,471860.8,2012,
ERP OPERATING LP EQR5,5.2,04/01/13,750000,772132.5,757842,2012,
ERP OPERATING LP EQR5,5.25,09/15/14,280000,304847.2,288910.16,2013,
ERP OPERATING LP EQR5,5.75,06/15/17,400000,460520,449113.2,2013,
ERP OPERATING LP EQR5,5.25,09/15/14,1000000,1038350,1031822,2013,
ERP OPERATING LP EQR5,5.75,06/15/17,400000,460520,440322.4,2014,
ERP OPERATING LP EQR5,5.75,06/15/17,400000,460520,422674,2015,
ERP OPERATING LP EQR5,5.75,06/15/17,177000,203780.1,180467.96,2016,
ESC CB LEHMAN BROS SUB NTS D07,0,07/19/27,130000,0,0,2017,
ESC CB LEHMAN BROS SUB NTS D07,0,06/30/99,130000,0,1300,2019,
ESC CB LEHMAN BROS SUB NTS D07,0,06/30/99,130000,0,1300,2020,
ESC CB LEHMAN BROS SUB NTS D07,0,06/30/99,130000,0,1300,2021,
ESC CB LEHMAN BROS SUB NTS D07,0,06/30/99,130000,0,1300,2022,
ESC CB LEHMAN BROS SUB NTS D07,0,06/30/99,130000,0,1300,2023,
ESC LEHMAN BROTH HLD INC D05/1,0,06/01/43,50000,0,1,2017,
ESC LEHMAN BROTH HLD INC D05/1,0,06/30/18,990000,8.91,8.91,2017,
ESC LEHMAN BROTH HLD INC D05/1,0,06/01/43,50000,0,1,2018,
ESC LEHMAN BROTH HLD INC D05/1,0,06/30/18,990000,8.91,8.91,2018,
ESC LEHMAN BROTH HLD INC D05/1,0,06/01/43,50000,0,1,2019,
ESC LEHMAN BROTH HLD INC D05/1,0,06/30/99,990000,8.91,8.91,2019,
ESC LEHMAN BROTH HLD INC D05/1,0,06/01/43,50000,0,1,2020,
ESC LEHMAN BROTH HLD INC D05/1,0,06/30/99,990000,8.91,8.91,2020,
ESC LEHMAN BROTH HLD INC D05/1,0,06/01/43,50000,0,0,2021,
ESC LEHMAN BROTH HLD INC D05/1,0,06/30/99,990000,8.91,8.91,2021,
ESC LEHMAN BROTH HLD INC D05/1,0,06/30/99,990000,8.91,8.91,2022,
ESC LEHMAN BROTH HLD INC D05/1,0,06/30/99,990000,8.91,8.91,2023,
ESC NWA A SEN IN DEFAULTED,0,12/31/40,400000,354477.7,0,2009,
ESC NWA A SEN IN DEFAULTED,0,12/31/40,400000,354477.7,0,2010,
ESSEX PORTFOLIO L P 3.875% DUE,3.88,05/01/24,596000,648024.84,641352.67,2021,
ESSEX PORTFOLIO L P 3.875% DUE,3.88,05/01/24,596000,648024.84,594251.35,2022,
ESSEX PORTFOLIO L P 3.875% DUE,3.88,05/01/24,596000,648024.84,585107.87,2023,
EUROPEAN INVT BK,1.75,09/14/12,860000,859518.4,857186.08,2009,
EVERGY INC 2.45% DUE ,2.45,09/15/24,675000,673825.5,712936.74,2020,
EVERGY INC 2.45% DUE ,2.45,09/15/24,545000,544051.7,570745.8,2021,
EVERGY INC 2.45% DUE ,2.45,09/15/24,545000,544051.7,524026.46,2022,
EVERGY INC 2.45% DUE ,2.45,09/15/24,545000,544051.7,522070.57,2023,
EVERSOURCE ENERGY 2.5% DUE ,2.75,03/15/22,634000,633112.4,635147.54,2017,
EVERSOURCE ENERGY 2.5% DUE ,2.5,03/15/21,2500000,2504425,2448962.5,2018,
EVERSOURCE ENERGY 2.5% DUE ,2.75,03/15/22,634000,633112.4,618208.33,2018,
EVERSOURCE ENERGY 2.5% DUE ,2.5,03/15/21,1084000,1075865.14,1061870.14,2018,
EVERSOURCE ENERGY 2.5% DUE ,2.5,03/15/21,2500000,2504425,2506287.5,2019,
EVERSOURCE ENERGY 2.5% DUE ,2.75,03/15/22,634000,633112.4,641601.03,2019,
EVERSOURCE ENERGY 2.5% DUE ,2.5,03/15/21,1084000,1075865.14,1086726.26,2019,
EVERSOURCE ENERGY 2.5% DUE ,2.5,03/15/21,2500000,2504425,2531439.88,2020,
EVERSOURCE ENERGY 2.5% DUE ,2.75,03/15/22,634000,633112.4,657090.67,2020,
EVERSOURCE ENERGY 2.5% DUE ,2.5,03/15/21,1084000,1075865.14,1097632.33,2020,
EVERSOURCE ENERGY 2.5% DUE ,2.5,03/15/21,1200000,1202868,1215091.14,2020,
EVERSOURCE ENERGY 2.5% DUE ,2.75,03/15/22,634000,633112.4,643281.74,2021,
EVERSOURCE ENERGY 2.5% DUE ,3.8,12/01/23,1992000,2160742.32,2137837.91,2021,
EVERSOURCE ENERGY 2.5% DUE ,3.8,12/01/23,1992000,2160742.32,1996072.07,2022,
EVERSOURCE ENERGY 2.5% DUE ,5.45,03/01/28,270000,282013.8,271810.64,2023,
EVERSOURCE ENERGY 2.5% DUE ,2.9,10/01/24,300000,294549,288727.38,2023,
EXELON CORP,4.9,06/15/15,205000,205416.15,211478.21,2009,
EXELON CORP,4.9,06/15/15,205000,205416.15,218618.35,2010,
EXELON CORP,4.9,06/15/15,205000,205416.15,220883.19,2011,
EXELON CORP,4.9,06/15/15,205000,205416.15,223148.24,2012,
EXELON CORP,4.9,06/15/15,205000,205416.15,216132.11,2013,
EXELON CORP,2.85,06/15/20,615000,614883.15,611637.79,2015,
EXELON CORP,1.55,06/09/17,662000,661549.84,659208.34,2015,
